Timestep ;Biomass (MW);Energy storage (MW);Fossil Brown coal/Lignite (MW);Fossil Coal-derived gas (MW);Fossil Gas (MW);Fossil Hard coal (MW);Fossil Oil (MW);Fossil Oil shale (MW);Fossil Peat (MW);Geothermal (MW);Hydro Pumped Storage (MW);Hydro Run-of-river and pondage (MW);Hydro Water Reservoir (MW);Marine (MW);Nuclear (MW);Other (MW);Other renewable (MW);Solar (MW);Waste (MW);Wind Offshore (MW);Wind Onshore (MW)
03/07/2024 01:00:00 - 03/07/2024 02:00:00;356.00;n/e;n/e;n/e;426.00;0.00;123.00;n/e;n/e;n/e;1164.00;5814.00;2285.00;n/e;38949.00;n/e;n/e;0.00;204.00;50.00;2165.00
03/07/2024 02:00:00 - 03/07/2024 03:00:00;355.00;n/e;n/e;n/e;427.00;0.00;123.00;n/e;n/e;n/e;946.00;5646.00;2569.00;n/e;38992.00;n/e;n/e;0.00;207.00;70.00;2107.00
03/07/2024 03:00:00 - 03/07/2024 04:00:00;353.00;n/e;n/e;n/e;427.00;0.00;122.00;n/e;n/e;n/e;663.00;5655.00;2228.00;n/e;38599.00;n/e;n/e;0.00;209.00;78.00;1989.00
03/07/2024 04:00:00 - 03/07/2024 05:00:00;356.00;n/e;n/e;n/e;428.00;0.00;122.00;n/e;n/e;n/e;111.00;5584.00;2036.00;n/e;38954.00;n/e;n/e;0.00;209.00;103.00;1939.00
03/07/2024 05:00:00 - 03/07/2024 06:00:00;359.00;n/e;n/e;n/e;429.00;0.00;122.00;n/e;n/e;n/e;;5640.00;1732.00;n/e;38815.00;n/e;n/e;254.00;213.00;183.00;1974.00
03/07/2024 06:00:00 - 03/07/2024 07:00:00;358.00;n/e;n/e;n/e;446.00;0.00;123.00;n/e;n/e;n/e;692.00;5762.00;2027.00;n/e;38868.00;n/e;n/e;445.00;208.00;159.00;1986.00
03/07/2024 07:00:00 - 03/07/2024 08:00:00;356.00;n/e;n/e;n/e;447.00;0.00;123.00;n/e;n/e;n/e;1333.00;5855.00;2419.00;n/e;39235.00;n/e;n/e;1218.00;201.00;161.00;2089.00
03/07/2024 08:00:00 - 03/07/2024 09:00:00;355.00;n/e;n/e;n/e;435.00;0.00;123.00;n/e;n/e;n/e;1643.00;5687.00;2608.00;n/e;39399.00;n/e;n/e;2841.00;200.00;239.00;1966.00
03/07/2024 09:00:00 - 03/07/2024 10:00:00;358.00;n/e;n/e;n/e;433.00;0.00;123.00;n/e;n/e;n/e;1395.00;5621.00;2570.00;n/e;39434.00;n/e;n/e;4769.00;197.00;254.00;2046.00
03/07/2024 10:00:00 - 03/07/2024 11:00:00;355.00;n/e;n/e;n/e;421.00;0.00;123.00;n/e;n/e;n/e;1078.00;5646.00;2097.00;n/e;39217.00;n/e;n/e;6882.00;195.00;310.00;2481.00
03/07/2024 11:00:00 - 03/07/2024 12:00:00;355.00;n/e;n/e;n/e;421.00;0.00;123.00;n/e;n/e;n/e;441.00;5572.00;1963.00;n/e;38903.00;n/e;n/e;8507.00;197.00;386.00;3073.00
03/07/2024 12:00:00 - 03/07/2024 13:00:00;353.00;n/e;n/e;n/e;422.00;0.00;123.00;n/e;n/e;n/e;599.00;5658.00;1953.00;n/e;38810.00;n/e;n/e;9419.00;197.00;426.00;3489.00
03/07/2024 13:00:00 - 03/07/2024 14:00:00;355.00;n/e;n/e;n/e;419.00;0.00;122.00;n/e;n/e;n/e;178.00;5488.00;1784.00;n/e;38149.00;n/e;n/e;9848.00;199.00;549.00;4041.00
03/07/2024 14:00:00 - 03/07/2024 15:00:00;349.00;n/e;n/e;n/e;419.00;0.00;122.00;n/e;n/e;n/e;;5188.00;1616.00;n/e;36834.00;n/e;n/e;9808.00;200.00;658.00;4602.00
