Timestep ;Biomass (MW);Energy storage (MW);Fossil Brown coal/Lignite (MW);Fossil Coal-derived gas (MW);Fossil Gas (MW);Fossil Hard coal (MW);Fossil Oil (MW);Fossil Oil shale (MW);Fossil Peat (MW);Geothermal (MW);Hydro Pumped Storage (MW);Hydro Run-of-river and pondage (MW);Hydro Water Reservoir (MW);Marine (MW);Nuclear (MW);Other (MW);Other renewable (MW);Solar (MW);Waste (MW);Wind Offshore (MW);Wind Onshore (MW)
30/08/2024 11:00:00 - 30/08/2024 12:00:00;544.00;n/e;n/e;537.00;14089.00;324.00;230.00;n/e;n/e;566.00;0.00;2487.00;345.00;n/e;n/e;2079.00;n/e;13750.00;299.00;5.00;1918.00
30/08/2024 12:00:00 - 30/08/2024 13:00:00;541.00;n/e;n/e;512.00;13841.00;325.00;227.00;n/e;n/e;566.00;0.00;2465.00;402.00;n/e;n/e;2059.00;n/e;14461.00;300.00;6.00;2323.00
30/08/2024 13:00:00 - 30/08/2024 14:00:00;538.00;n/e;n/e;509.00;13117.00;317.00;227.00;n/e;n/e;565.00;0.00;2503.00;336.00;n/e;n/e;2012.00;n/e;14344.00;293.00;14.00;2881.00
30/08/2024 14:00:00 - 30/08/2024 15:00:00;543.00;n/e;n/e;528.00;13638.00;301.00;228.00;n/e;n/e;565.00;0.00;2764.00;335.00;n/e;n/e;2104.00;n/e;13401.00;296.00;10.00;3270.00
30/08/2024 15:00:00 - 30/08/2024 16:00:00;549.00;n/e;n/e;524.00;14404.00;312.00;226.00;n/e;n/e;566.00;22.00;3065.00;363.00;n/e;n/e;2144.00;n/e;11717.00;297.00;11.00;3693.00
30/08/2024 16:00:00 - 30/08/2024 17:00:00;554.00;n/e;n/e;482.00;17458.00;327.00;226.00;n/e;n/e;566.00;144.00;3339.00;627.00;n/e;n/e;2237.00;n/e;9259.00;293.00;9.00;3542.00
30/08/2024 17:00:00 - 30/08/2024 18:00:00;559.00;n/e;n/e;480.00;20280.00;311.00;226.00;n/e;n/e;562.00;655.00;4330.00;936.00;n/e;n/e;2342.00;n/e;6077.00;294.00;9.00;3206.00
30/08/2024 18:00:00 - 30/08/2024 19:00:00;563.00;n/e;n/e;489.00;21698.00;377.00;226.00;n/e;n/e;560.00;1615.00;5514.00;1247.00;n/e;n/e;2378.00;n/e;2368.00;301.00;9.00;2726.00
30/08/2024 19:00:00 - 30/08/2024 20:00:00;541.00;n/e;n/e;519.00;22833.00;407.00;225.00;n/e;n/e;565.00;2053.00;6290.00;1354.00;n/e;n/e;2475.00;n/e;250.00;303.00;5.00;2024.00
30/08/2024 20:00:00 - 30/08/2024 21:00:00;534.00;n/e;n/e;541.00;22552.00;386.00;225.00;n/e;n/e;565.00;2550.00;6257.00;1337.00;n/e;n/e;2471.00;n/e;0.00;305.00;3.00;1706.00
30/08/2024 21:00:00 - 30/08/2024 22:00:00;545.00;n/e;n/e;545.00;21706.00;365.00;224.00;n/e;n/e;567.00;1376.00;5155.00;1019.00;n/e;n/e;2396.00;n/e;0.00;314.00;1.00;1576.00
30/08/2024 22:00:00 - 30/08/2024 23:00:00;548.00;n/e;n/e;543.00;19833.00;368.00;226.00;n/e;n/e;566.00;388.00;4472.00;747.00;n/e;n/e;2332.00;n/e;0.00;314.00;1.00;1771.00
30/08/2024 23:00:00 - 31/08/2024 00:00:00;548.00;n/e;n/e;543.00;17588.00;366.00;226.00;n/e;n/e;566.00;321.00;3913.00;628.00;n/e;n/e;2179.00;n/e;0.00;316.00;1.00;1801.00
31/08/2024 00:00:00 - 31/08/2024 01:00:00;529.00;n/e;n/e;542.00;14287.00;369.00;227.00;n/e;n/e;565.00;200.00;4045.00;519.00;n/e;n/e;1945.00;n/e;0.00;318.00;3.00;1634.00
31/08/2024 01:00:00 - 31/08/2024 02:00:00;563.00;n/e;n/e;542.00;12771.00;368.00;227.00;n/e;n/e;566.00;123.00;3883.00;507.00;n/e;n/e;1884.00;n/e;0.00;315.00;3.00;1750.00
31/08/2024 02:00:00 - 31/08/2024 03:00:00;568.00;n/e;n/e;542.00;11661.00;359.00;227.00;n/e;n/e;566.00;157.00;3454.00;476.00;n/e;n/e;1827.00;n/e;0.00;316.00;3.00;1932.00
31/08/2024 03:00:00 - 31/08/2024 04:00:00;571.00;n/e;n/e;542.00;10770.00;338.00;226.00;n/e;n/e;567.00;165.00;3314.00;471.00;n/e;n/e;1779.00;n/e;0.00;317.00;4.00;2128.00
31/08/2024 04:00:00 - 31/08/2024 05:00:00;573.00;n/e;n/e;543.00;10492.00;338.00;225.00;n/e;n/e;567.00;97.00;3170.00;469.00;n/e;n/e;1766.00;n/e;0.00;317.00;6.00;2487.00
31/08/2024 05:00:00 - 31/08/2024 06:00:00;560.00;n/e;n/e;544.00;10394.00;337.00;225.00;n/e;n/e;569.00;29.00;3265.00;469.00;n/e;n/e;1779.00;n/e;0.00;320.00;8.00;2549.00
31/08/2024 06:00:00 - 31/08/2024 07:00:00;562.00;n/e;n/e;543.00;10578.00;335.00;225.00;n/e;n/e;568.00;67.00;3753.00;489.00;n/e;n/e;1819.00;n/e;63.00;321.00;6.00;2447.00
31/08/2024 07:00:00 - 31/08/2024 08:00:00;569.00;n/e;n/e;544.00;10365.00;316.00;225.00;n/e;n/e;571.00;51.00;3234.00;507.00;n/e;n/e;1845.00;n/e;1576.00;328.00;3.00;2034.00
31/08/2024 08:00:00 - 31/08/2024 09:00:00;571.00;n/e;n/e;546.00;9849.00;305.00;226.00;n/e;n/e;567.00;32.00;2993.00;389.00;n/e;n/e;1782.00;n/e;5306.00;325.00;2.00;1713.00
31/08/2024 09:00:00 - 31/08/2024 10:00:00;569.00;n/e;n/e;549.00;8096.00;280.00;226.00;n/e;n/e;566.00;3.00;2863.00;361.00;n/e;n/e;1824.00;n/e;9079.00;324.00;8.00;1634.00
31/08/2024 10:00:00 - 31/08/2024 11:00:00;554.00;n/e;n/e;572.00;6716.00;299.00;226.00;n/e;n/e;564.00;0.00;2708.00;332.00;n/e;n/e;1794.00;n/e;11893.00;313.00;14.00;1502.00
31/08/2024 11:00:00 - 31/08/2024 12:00:00;552.00;n/e;n/e;566.00;6227.00;308.00;226.00;n/e;n/e;563.00;;2593.00;318.00;n/e;n/e;1815.00;n/e;13612.00;314.00;7.00;1738.00
31/08/2024 12:00:00 - 31/08/2024 13:00:00;545.00;n/e;n/e;535.00;6721.00;306.00;226.00;n/e;n/e;567.00;;2543.00;324.00;n/e;n/e;1710.00;n/e;14433.00;317.00;2.00;2109.00
31/08/2024 13:00:00 - 31/08/2024 14:00:00;549.00;n/e;n/e;522.00;6498.00;307.00;226.00;n/e;n/e;567.00;;2497.00;325.00;n/e;n/e;1718.00;n/e;14399.00;309.00;1.00;2339.00
31/08/2024 14:00:00 - 31/08/2024 15:00:00;543.00;n/e;n/e;524.00;6669.00;308.00;226.00;n/e;n/e;567.00;0.00;2573.00;323.00;n/e;n/e;1750.00;n/e;12912.00;313.00;6.00;2702.00
31/08/2024 15:00:00 - 31/08/2024 16:00:00;547.00;n/e;n/e;521.00;7674.00;306.00;226.00;n/e;n/e;566.00;0.00;2627.00;333.00;n/e;n/e;1783.00;n/e;10987.00;308.00;8.00;2817.00
