Timestep ;Biomass (MW);Energy storage (MW);Fossil Brown coal/Lignite (MW);Fossil Coal-derived gas (MW);Fossil Gas (MW);Fossil Hard coal (MW);Fossil Oil (MW);Fossil Oil shale (MW);Fossil Peat (MW);Geothermal (MW);Hydro Pumped Storage (MW);Hydro Run-of-river and pondage (MW);Hydro Water Reservoir (MW);Marine (MW);Nuclear (MW);Other (MW);Other renewable (MW);Solar (MW);Waste (MW);Wind Offshore (MW);Wind Onshore (MW)
09/02/2024 17:00:00 - 09/02/2024 18:00:00;390.30;n/e;n/e;n/e;743.70;0.00;n/e;n/e;n/e;n/e;935.50;1917.00;620.70;n/e;n/e;28.80;n/e;470.80;n/e;25.00;4330.70
09/02/2024 18:00:00 - 09/02/2024 19:00:00;390.20;n/e;n/e;n/e;783.00;0.00;n/e;n/e;n/e;n/e;1682.30;2203.50;691.40;n/e;n/e;27.20;n/e;79.70;n/e;24.10;4283.10
09/02/2024 19:00:00 - 09/02/2024 20:00:00;391.60;n/e;n/e;n/e;784.20;0.00;n/e;n/e;n/e;n/e;2294.40;2311.20;894.30;n/e;n/e;28.20;n/e;0.30;n/e;22.60;4309.70
09/02/2024 20:00:00 - 09/02/2024 21:00:00;390.00;n/e;n/e;n/e;784.50;0.00;n/e;n/e;n/e;n/e;2288.70;2206.90;722.40;n/e;n/e;28.50;n/e;0.10;n/e;24.60;4579.70
09/02/2024 21:00:00 - 09/02/2024 22:00:00;388.20;n/e;n/e;n/e;728.50;0.00;n/e;n/e;n/e;n/e;1700.90;2029.40;646.10;n/e;n/e;26.70;n/e;0.10;n/e;25.00;4660.60
09/02/2024 22:00:00 - 09/02/2024 23:00:00;373.80;n/e;n/e;n/e;560.10;0.00;n/e;n/e;n/e;n/e;1107.20;1778.40;378.60;n/e;n/e;21.20;n/e;0.10;n/e;24.90;4656.90
09/02/2024 23:00:00 - 10/02/2024 00:00:00;360.10;n/e;n/e;n/e;359.30;0.00;n/e;n/e;n/e;n/e;616.70;1439.80;353.60;n/e;n/e;14.30;n/e;0.10;n/e;24.90;4635.00
10/02/2024 00:00:00 - 10/02/2024 01:00:00;360.70;n/e;n/e;n/e;288.50;0.00;n/e;n/e;n/e;n/e;769.10;1334.50;537.60;n/e;n/e;14.70;n/e;0.10;n/e;24.30;4508.40
10/02/2024 01:00:00 - 10/02/2024 02:00:00;362.20;n/e;n/e;n/e;340.10;0.00;n/e;n/e;n/e;n/e;305.20;1386.50;497.40;n/e;n/e;14.30;n/e;0.00;n/e;23.80;4378.70
10/02/2024 02:00:00 - 10/02/2024 03:00:00;361.00;n/e;n/e;n/e;409.40;0.00;n/e;n/e;n/e;n/e;265.60;1297.00;271.80;n/e;n/e;14.20;n/e;0.00;n/e;21.30;4199.90
